prompt,feature,complaint,model,model_x_complaint,draw
V1,Length (chars),0.3456885401636415,0.0119312474497825,0.1874681967434874,0.45491201564308853
V1,VADER compound,0.36181566577541907,0.05478506163024299,0.14157674494859893,0.4418225276457392
V1,FK grade,0.3049640162764692,0.09401855420955772,0.1378144095425814,0.4632030199713918
V1,Apology,0.5904516129032258,0.00022447031876311968,0.14390125341986384,0.2654226633581473
V1,Ownership,0.2783400809716599,0.0008803871307764159,0.1495400426418801,0.5712394892556838
V1,Thanks the customer,0.4427809680065628,0.024613308604106477,0.1389087039745099,0.39369701941482094
V1,Time-bound commitment,0.23310046910330395,0.05133137592386353,0.19589281495730826,0.5196753400155244
V1,Escalation,0.37383374902674954,0.046924122501144555,0.16402379045397375,0.4152183380181322
V1,Leaves a [placeholder],0.2511825815358848,8.856445868910907e-06,0.21683925255533062,0.5319693094629155
V1,Promises an outcome,0.3181172424106477,0.0018692986391505904,0.12109316584417527,0.5589202931060268
V2,Length (chars),0.2257090658749361,0.19076586751594538,0.1172440525803383,0.46628101402878014
V2,VADER compound,0.22658726154047237,0.30975971038233613,0.0947172456772988,0.3689357823998926
V2,FK grade,0.21933522958766175,0.12904118650222293,0.1268014024830978,0.5248221814270178
V2,Apology,0.16487691480318514,0.01624366069311687,0.15493063627268994,0.6639487882310083
V2,Ownership,0.14039615166949632,0.0006112054329371989,0.14604036974155818,0.7129522731560084
V2,Thanks the customer,0.11427151200328695,0.4940735604860012,0.08233550507718494,0.30931942243352706
V2,Time-bound commitment,0.09932838458819371,0.4243702644965957,0.092022453778413,0.3842788971367974
V2,Escalation,0.3413077853482281,0.03263120672502569,0.09921838443813222,0.5268426234886141
V2,Leaves a [placeholder],0.1673513427795064,0.08065248883517198,0.21377002597269007,0.5382261424126314
V2,Promises an outcome,0.273054996646546,0.0015090543259557334,0.1238262910798122,0.601609657947686
V3,Length (chars),0.3376251364891876,0.0019185320649335756,0.19182642187755222,0.46862990956832656
V3,VADER compound,0.5322361083649563,0.05825494140026422,0.11413762051380699,0.2953713297209725
V3,FK grade,0.37638800639058606,0.0007796143283515903,0.18070112310446917,0.4421312561765932
V3,Apology,0.09939759036144587,0.0006693440428380189,0.09939759036144584,0.8005354752342709
V3,Ownership,0.17746288798920376,0.00519049102045053,0.18104432679331475,0.6363022941970312
V3,Thanks the customer,0.1375062354956948,0.015970098538905877,0.13750623549569482,0.7090174304697048
V3,Time-bound commitment,0.1630573630650789,0.021608669187177968,0.14372915648603002,0.6716048112617131
V3,Escalation,0.3803992395437262,0.0828052386987748,0.23741656104773973,0.29937896070975917
V3,Leaves a [placeholder],0.12018390804597703,0.0009808429118773948,0.11816091954022988,0.7606743295019159
V3,Promises an outcome,,,,
