Model,Feature,Term,Estimate,SE,p,Baseline (000) mean,n complaints
ChatGPT,Length (chars),A,-61.269423141046914,1.527883704849583,0.0,556.7409136378793,2999
ChatGPT,Length (chars),B,-167.65155051683854,1.477248031465805,0.0,556.7409136378793,2999
ChatGPT,Length (chars),C,-112.51483827942707,1.5118296201516535,0.0,556.7409136378793,2999
ChatGPT,Length (chars),A:B,98.61453817939288,2.1211626987404406,0.0,556.7409136378793,2999
ChatGPT,Length (chars),A:C,74.83927975991972,1.9165870517086825,0.0,556.7409136378793,2999
ChatGPT,Length (chars),B:C,99.4304768256087,1.815928529168082,0.0,556.7409136378793,2999
ChatGPT,Length (chars),A:B:C,-84.56652217405784,2.6230969152017773,4.986591262721948e-228,556.7409136378793,2999
ChatGPT,Sentences,A,-0.37279093031010374,0.01618044873785404,1.8704621283679415e-117,5.012004001333778,2999
ChatGPT,Sentences,B,-2.0060020006668844,0.012524264706514333,0.0,5.012004001333778,2999
ChatGPT,Sentences,C,-0.8882960986995712,0.013943691100424854,0.0,5.012004001333778,2999
ChatGPT,Sentences,A:B,0.5421807269089686,0.01873942714002412,4.643420185408517e-184,5.012004001333778,2999
ChatGPT,Sentences,A:C,0.5881960653551184,0.019524492511230552,2.2085959790791322e-199,5.012004001333778,2999
ChatGPT,Sentences,B:C,0.8906302100700253,0.014025424437661643,0.0,5.012004001333778,2999
ChatGPT,Sentences,A:B:C,-0.7072357452484165,0.02214761953409168,9.360071505417082e-224,5.012004001333778,2999
ChatGPT,VADER compound,A,-0.30960630210069967,0.007766964023767938,0.0,0.9133443147715905,2999
ChatGPT,VADER compound,B,-0.9687421473824595,0.008944474063825815,0.0,0.9133443147715905,2999
ChatGPT,VADER compound,C,-0.012201100366789862,0.0031499552802882074,0.00010731856354318384,0.9133443147715905,2999
ChatGPT,VADER compound,A:B,0.18251560520173543,0.012579490716923165,1.062861291469578e-47,0.9133443147715905,2999
ChatGPT,VADER compound,A:C,0.015911537179060575,0.00957651825515423,0.09660988180465431,0.9133443147715905,2999
ChatGPT,VADER compound,B:C,0.033367155718573537,0.0087387351276084,0.0001343717551910002,0.9133443147715905,2999
ChatGPT,VADER compound,A:B:C,-0.11451747249083175,0.015953438604598618,7.061901099502671e-13,0.9133443147715905,2999
ChatGPT,FK grade,A,-1.0990996998999645,0.03063718838762381,7.580893086970158e-282,10.810436812270757,2999
ChatGPT,FK grade,B,0.24091363787929151,0.03328249984691706,4.538488124943471e-13,10.810436812270757,2999
ChatGPT,FK grade,C,-0.016605535178393395,0.02924823764016079,0.5702082585284344,10.810436812270757,2999
ChatGPT,FK grade,A:B,1.297865955318438,0.043493281815035534,1.1622771988503557e-195,10.810436812270757,2999
ChatGPT,FK grade,A:C,-0.09553184394798353,0.04171186867769842,0.022005110784727642,10.810436812270757,2999
ChatGPT,FK grade,B:C,-0.22257419139713097,0.04239429799620305,1.5201885280456822e-07,10.810436812270757,2999
ChatGPT,FK grade,A:B:C,0.12920973657886026,0.059611369073705074,0.03019407407382212,10.810436812270757,2999
ChatGPT,Apology,A,0.3214404801600525,0.009086564576836981,4.086602015686969e-274,0.6432144048016005,2999
ChatGPT,Apology,B,-0.6428809603201057,0.008752242410653182,0.0,0.6432144048016005,2999
ChatGPT,Apology,C,-0.6032010670223433,0.008986086106016778,0.0,0.6432144048016005,2999
ChatGPT,Apology,A:B,-0.27175725241747356,0.010125376804358292,1.1268689104875992e-158,0.6432144048016005,2999
ChatGPT,Apology,A:C,0.5348449483161078,0.011487395316406763,0.0,0.6432144048016005,2999
ChatGPT,Apology,B:C,0.602867622540847,0.008987361661213333,0.0,0.6432144048016005,2999
ChatGPT,Apology,A:B:C,-0.5718572857619233,0.012445725987052465,0.0,0.6432144048016005,2999
ChatGPT,Ownership,A,0.48516172057352436,0.009452383806699565,0.0,0.49549849949983327,2999
ChatGPT,Ownership,B,0.48249416472157447,0.009509538360752108,0.0,0.49549849949983327,2999
ChatGPT,Ownership,C,-0.3471157052350794,0.010321986943496444,6.37271506791627e-248,0.49549849949983327,2999
ChatGPT,Ownership,A:B,-0.4718239413137736,0.009969532410003,0.0,0.49549849949983327,2999
ChatGPT,Ownership,A:C,0.33644548182727557,0.011070233899652534,7.027446855556004e-203,0.49549849949983327,2999
ChatGPT,Ownership,B:C,0.3451150383461151,0.010919868269159036,3.220225401873637e-219,0.49549849949983327,2999
ChatGPT,Ownership,A:B:C,-0.3317772590863618,0.011778010395765594,1.3941807573132258e-174,0.49549849949983327,2999
ChatGPT,Time-bound commitment,A,0.055351783927975254,0.0043593125298864955,6.115397365300891e-37,0.006002000666888963,2999
ChatGPT,Time-bound commitment,B,0.4978326108702903,0.009169472460653099,0.0,0.006002000666888963,2999
ChatGPT,Time-bound commitment,C,-0.006002000666889082,0.0014108743181596563,2.098913394585661e-05,0.006002000666888963,2999
ChatGPT,Time-bound commitment,A:B,0.1313771257085692,0.01271970318515917,5.230146344289782e-25,0.006002000666888963,2999
ChatGPT,Time-bound commitment,A:C,-0.05301767255751938,0.00443218635855842,5.621347845390702e-33,0.006002000666888963,2999
ChatGPT,Time-bound commitment,B:C,0.14904968322774265,0.012156810114433668,1.4741977974137176e-34,0.006002000666888963,2999
ChatGPT,Time-bound commitment,A:B:C,-0.15971990663554503,0.017352532561633667,3.435381546583767e-20,0.006002000666888963,2999
ChatGPT,Escalation,A,0.42180726908969635,0.010168663591519734,0.0,0.08702900966988997,2999
ChatGPT,Escalation,B,-0.040013337779259375,0.005431812495476609,1.7519229281155534e-13,0.08702900966988997,2999
ChatGPT,Escalation,C,-0.08136045348449546,0.005190387806426561,2.2346168376975597e-55,0.08702900966988997,2999
ChatGPT,Escalation,A:B,-0.058352784261420695,0.013169002617489696,9.376625081013846e-06,0.08702900966988997,2999
ChatGPT,Escalation,A:C,0.2017339113037672,0.01216859259793111,1.001096388600123e-61,0.08702900966988997,2999
ChatGPT,Escalation,B:C,0.05835278426142008,0.0060480792498263615,5.00497945792973e-22,0.08702900966988997,2999
ChatGPT,Escalation,A:B:C,-0.10403467822607337,0.016332112326126545,1.8909441490248785e-10,0.08702900966988997,2999
ChatGPT,Asks for information,A,-0.43447815938646217,0.009127755002461399,0.0,0.43981327109036344,2999
ChatGPT,Asks for information,B,-0.4114704901633868,0.009376490390907972,0.0,0.43981327109036344,2999
ChatGPT,Asks for information,C,-0.24041347115705394,0.011060860298911861,9.471913170290627e-105,0.43981327109036344,2999
ChatGPT,Asks for information,A:B,0.4074691563854612,0.009458166970274476,0.0,0.43981327109036344,2999
ChatGPT,Asks for information,A:C,0.23807935978659506,0.011212455200205806,4.686822712390988e-100,0.43981327109036344,2999
ChatGPT,Asks for information,B:C,0.2227409136378792,0.011453935308362294,3.109753801431444e-84,0.43981327109036344,2999
ChatGPT,Asks for information,A:B:C,-0.2190730243414469,0.011617216334947918,2.5442829863430282e-79,0.43981327109036344,2999
ChatGPT,Thanks the customer,A,-0.11470490163387659,0.008598454128521081,1.3513794960752663e-40,0.8909636545515172,2999
ChatGPT,Thanks the customer,B,-0.8726242080693559,0.0061262514205861545,0.0,0.8909636545515172,2999
ChatGPT,Thanks the customer,C,0.10236745581860612,0.005715016876983035,9.503578669458421e-72,0.8909636545515172,2999
ChatGPT,Thanks the customer,A:B,0.18572857619206423,0.010278223394176314,5.4809273681499624e-73,0.8909636545515172,2999
ChatGPT,Thanks the customer,A:C,-0.10970323441147073,0.011206978164942932,1.2573907119153851e-22,0.8909636545515172,2999
ChatGPT,Thanks the customer,B:C,-0.09936645548516079,0.006707472146331014,1.184293319831365e-49,0.8909636545515172,2999
ChatGPT,Thanks the customer,A:B:C,0.05335111703901274,0.013112597845762358,4.7277869855009706e-05,0.8909636545515172,2999
ChatGPT,Leaves a [placeholder],A,-0.5491830610203396,0.009670012074806118,0.0,0.9513171057019006,2999
ChatGPT,Leaves a [placeholder],B,-0.8532844281427119,0.006782163737874137,0.0,0.9513171057019006,2999
ChatGPT,Leaves a [placeholder],C,-0.8079359786595569,0.007348459214178713,0.0,0.9513171057019006,2999
ChatGPT,Leaves a [placeholder],A:B,0.4818272757585841,0.011927619373573149,0.0,0.9513171057019006,2999
ChatGPT,Leaves a [placeholder],A:C,0.6532177392464137,0.012405800709707277,0.0,0.9513171057019006,2999
ChatGPT,Leaves a [placeholder],B:C,0.7415805268422815,0.009613641805267623,0.0,0.9513171057019006,2999
ChatGPT,Leaves a [placeholder],A:B:C,-0.610870290096698,0.014248762445104708,0.0,0.9513171057019006,2999
ChatGPT,Markdown,A,7.806255641895632e-18,,,0.0,2999
ChatGPT,Markdown,B,0.0010003334444814874,0.0005774343555347717,0.08320663045158169,0.0,2999
ChatGPT,Markdown,C,-5.260988951821302e-17,,,0.0,2999
ChatGPT,Markdown,A:B,0.03701233744581521,0.0035124383085733085,5.801747985098838e-26,0.0,2999
ChatGPT,Markdown,A:C,-2.688821387764051e-17,,,0.0,2999
ChatGPT,Markdown,B:C,0.0003334444814938881,0.0008824660299435013,0.70553807766078,0.0,2999
