Feature,Prompt,Model,Model x Prompt,Complaint,Residual
Length (chars),0.5955114004463814,0.017478726534516844,0.018510794223807157,0.10203914368014275,0.2664599351151519
Sentences,0.7182330433152896,0.02904072204259638,0.09200826613869881,0.031483850929395145,0.12923411757402004
VADER compound,0.09005126674630949,0.03951040248212702,0.11308963958703515,0.27296151698488125,0.48438717419964705
FK grade,0.3329597440046494,7.54418704157808e-05,0.05048868637775705,0.17332771571798816,0.44314841202918964
Apology,0.6787004079996017,2.1753075305064263e-06,0.0009003166402811367,0.07965165380271891,0.24074544624986768
Ownership,0.5259260763992178,0.0007414061387390238,0.00040453086814216406,0.08498211255116606,0.38794587404273484
Time-bound commitment,0.46890091500457215,0.08355760573831517,0.058768883613483085,0.07121845064419301,0.31755414499943657
Escalation,0.24427476321735628,0.03318345333080674,0.0005445851945745293,0.21151846148627157,0.5104787367709909
Asks for information,0.30375337654038265,0.0033256615718730794,0.002057267320914867,0.1541209020286177,0.5367427925382117
Thanks the customer,0.1804872516044234,0.1322760255320969,0.13870730709178222,0.12983600728091862,0.41869340849077885
Leaves a [placeholder],0.08341180841312681,0.013204000554720865,0.02985023082394811,0.15231322029477798,0.7212207399134262
